,liste_preference
0,[2211 4051 3691 ... 5901 8648 5648]
1,[4101 1166 6181 ... 6779 8973 5417]
2,[4703 9634 1156 ... 7605 4180   58]
3,[7525 8351  516 ... 9026  832  496]
4,[2210 7273 1378 ...  710 9645 6591]
5,[2318 4118  229 ... 4648 5278 1695]
6,[9916 7653 9496 ...  823 8925 3029]
7,[6038 6576 6363 ...  435 6887 8640]
8,[8004 7718 7648 ...  628 7164 4573]
9,[ 288 8377 8503 ... 1638 4049 7951]
10,[1771 3160 4755 ... 4123 9441 4576]
11,[7409 1238 3210 ... 7380 1271 8586]
12,[7886 3164 7996 ...  631  843 6670]
13,[4979 3836 7897 ... 1215 7826 9997]
14,[4894 8940 2132 ... 4414 8957 6498]
15,[ 752 8351 2112 ... 5336 9883 7672]
16,[9322 7541 9850 ... 2381 2440 1132]
17,[2276 3987 8089 ... 5256  834 8012]
18,[9606 6386 6893 ... 6250 6667 4566]
19,[3691 8004 4367 ... 9677 5696 7537]
20,[4385 3634  627 ... 1962 8781  613]
21,[7957 5556 3654 ... 4382 9340 3931]
22,[3943 8003 5612 ... 9276 2526  194]
23,[5062 1549 4359 ... 4779 2508   76]
24,[4363  979 4524 ... 5033  168 2142]
25,[1564 6886 9290 ...  323 1755  305]
26,[3300 5518 4289 ... 9679 5213 5717]
27,[1364 7582 1782 ... 4637 5210 4560]
28,[5367 1148 1573 ... 3711 1416 3273]
29,[1871 3710 4671 ... 5658 1265 4532]
30,[7384 1077 7010 ... 2896 2366 5421]
31,[3326 6260 3467 ... 6585 7596 6906]
32,[  89 8408 2506 ... 1455 8130 4179]
33,[5695 2721 7420 ... 5350 3213 3492]
34,[5399 1853 5605 ... 3913 6492 2200]
35,[6336 3009 6103 ... 1367 8135 8980]
36,[6061 9588 9705 ... 7727 7724 6624]
37,[3853 6840 1946 ... 4636 1225 2149]
38,[ 496 8252 5093 ... 6755 5422 9750]
39,[5278 6371 7993 ...  951 2675 1931]
40,[1116 2235 2284 ... 9053 6397 1483]
41,[6420 2492 7665 ... 4944 7400 5954]
42,[ 169 2250  184 ...  448 3113 2312]
43,[5773 1644 9243 ...  483 4086 8329]
44,[  26 1627 2460 ... 5430 4337 5572]
45,[9143 3584 6052 ... 3352 5695 7291]
46,[6911 1940 8233 ... 1376 3842  430]
47,[8229 4293 6691 ... 8698 8894 7425]
48,[1684 2129 2297 ... 6085 6884 7406]
49,[5735 6293 8608 ... 7689 4745 2914]
50,[3921 7747 5899 ... 5576 8843 2322]
51,[7170 1265 8934 ... 3319 3677  267]
52,[3619 3719 4263 ... 2834 6741 4641]
53,[1976 1441 6226 ... 5699 3625 8590]
54,[9383 5280 4441 ... 8271  111 1981]
55,[4999 7940 7568 ... 8580  743 3017]
56,[7868 1822 3351 ... 4770 7936 8415]
57,[2867 9465 4671 ... 2787 5934 5042]
58,[3793 4269 4860 ...  888 1741 3553]
59,[1117 9419 4609 ... 5071 4022  385]
60,[5106 9545 4032 ... 4825 5230 3876]
61,[5953 4571 4980 ... 4601 5517 6980]
62,[9971 3086 9093 ... 4257 7096 8545]
63,[6913  777   68 ... 8303  853 7638]
64,[5085 4248 4399 ... 3023 7558 5653]
65,[5297 5825  204 ... 2199 5128 8611]
66,[5353 8258 2768 ... 3597 7887 3991]
67,[1119 6107 2788 ... 4968 7919 5433]
68,[1867 1570 4167 ... 8757  438  895]
69,[4474 3138 7810 ... 2817 6473 2451]
70,[6593 2775 4449 ... 2415 6848 3188]
71,[6391 1110 1183 ... 3334 7336 4408]
72,[3359 9056 3142 ... 4399 5916 8710]
73,[3337 8155 3772 ... 2262 2590 5261]
74,[9590  747  627 ... 8228 5196 9863]
75,[8246 6444  421 ...   62 2261 8010]
76,[8864  679 9831 ... 6142 2393 5442]
77,[2887 8283 2232 ... 5388 2989 4775]
78,[8516 3962 9850 ...  239 5221 7935]
79,[4557 2269 5178 ... 5978 3680 5144]
80,[3591 5915 5509 ... 9355 7165 8495]
81,[6613 6536 1133 ... 1462  950 3705]
82,[9101 4023 2165 ... 1335  357  764]
83,[5889 4231  897 ... 3399  380 1366]
84,[ 800 6611 5497 ... 4086 3264 5225]
85,[7573 1581 8512 ... 7193 6362 1626]
86,[2101 1779 5007 ... 9461 2790 4819]
87,[8655 3792 5005 ... 4698 8167 2899]
88,[4033 7233 2221 ... 8287 6615 7146]
89,[3897 6273 8645 ... 2838 6161 5345]
90,[3065 5581 6403 ... 2652 3132  995]
91,[ 825 5083 8117 ... 5844 1304 1063]
92,[3310 5165 8187 ... 5347 6359   74]
93,[2659 5953 2052 ... 8650 3263 6356]
94,[9380 1041  734 ... 8028 1105 5787]
95,[6248 7949 8687 ... 8149  181 5424]
96,[9334 6412 8306 ... 9353 3211 8835]
97,[5531 5206 9904 ... 6640 3646 1001]
98,[4270 9770 6028 ... 9151 8699 9713]
99,[6931 2177 7434 ... 1664 1372 8184]
100,[3706 7898  830 ... 2606 5021 7524]
101,[8745 5005  445 ... 9489 4693 6029]
102,[9407 1020 2417 ... 7790 5364 8126]
103,[ 723  659 6143 ... 1821 4050 6162]
104,[9150 6803  840 ... 7420 8740 4055]
105,[4695 9279 8681 ... 1047 5812 7100]
106,[9900 3232 5977 ... 9722 6249   86]
107,[8445 2528 8444 ... 8289 1703 7632]
108,[4198 9937 5363 ... 1076 2108 7416]
109,[2966 5360 4746 ... 5132 5078 6637]
110,[6461 3175 4050 ... 9531 5282 8667]
111,[7725 8881 4703 ... 2139 2308 8131]
112,[5101 9128 9112 ... 7357 1990 7746]
113,[8417 6580 7370 ... 7270 7248 3649]
114,[2843 3311 8678 ...  167  491 4898]
115,[1941 4413 4699 ... 8395 1253 7024]
116,[5874 4847 9259 ... 1886 4292 6346]
117,[1828 4215 1667 ... 8540 3575 1627]
118,[5051 3101 5024 ... 9207 5206 4248]
119,[9811 9295 3915 ... 9362 6920 1824]
120,[9323 5571 9014 ... 3330 3453 2994]
121,[4927 1568 2589 ... 9094 4504 6824]
122,[1937 6491  659 ... 3705 6173 1340]
123,[7277 1674 4997 ... 3602 7199 4542]
124,[8013 6002 6804 ...  736 5161 8688]
125,[7622 1036 6564 ... 3187 6414 3603]
126,[ 551 5849 7879 ... 8537  331 5151]
127,[5643 3436 3597 ... 6957 5136 7996]
128,[7514 9347 7807 ...  324 1447 5231]
129,[6067 9442 1637 ... 1829 1197 4266]
130,[2165   82 5807 ... 1641 3297  957]
131,[7117 9489 3884 ... 8583  232 2251]
132,[3996 3839 6662 ... 9521 2032 3520]
133,[3869 6573 4731 ... 3307   79 1770]
134,[2766 3172 6817 ... 1492 5293 5440]
135,[3635 8498 9482 ... 3861 5413 8665]
136,[4988 4074 2823 ... 1647 2516  240]
137,[9616 4037 5273 ... 5388 4699 3170]
138,[ 299  233 8152 ... 5230 4685 2618]
139,[9424 7323 7075 ... 6976 5119 1638]
140,[7880 3823 2148 ...  108 1043 8761]
141,[1088 3966 8674 ...   38 6151 4675]
142,[9897 5854 7379 ...  433 1904 9659]
143,[2222 3450 8968 ... 7255 6968 7558]
144,[5259 9765 4729 ... 4105 9189 1546]
145,[6292 3027 1742 ... 8233 3746 2020]
146,[5489 8626 4066 ... 9657 5156 8744]
147,[9154 7110 6218 ... 9569 6212 3117]
148,[8383 2580 2708 ... 9035 3662 9761]
149,[9252 9846 5431 ... 2891 2825 6932]
150,[3569 4106  478 ... 4292 3929 5253]
151,[4777 1358 9937 ... 1918 7262  236]
152,[4388 4245 9968 ... 5961 6951 3776]
