,liste_preference
0,"[33 64 48 18 68  2 24 78 44  5 94 39 56  0 19 11  6 75 97 89 60 96 72 28
 55  9 84 91 58 95 74 50 31 36 20 25 17  1 30 81 83 15 29 87 53 47 66 49
 45 59  7 69 14 32 82 77 57 71 46 61 62 34 86 67 65 63  8 41 80 99 37 52
  3 26 38 35 51 27 98 88 10 43 70  4 54 22 92 13 73 90 79 16 93 42 12 23
 40 21 85 76]"
1,"[22 49 62 20 96 92 34  6 51  4 77 31 91 30 66 87 85 71 57 33 48 88 64 67
 43 24 97 82 59 58 16 35 55 79 98 29 81 47 90 70 41 73 39 52 18 75 40 68
 61 44 74 28 32 50 76  0 21 17 69 60 94 65 54 25 15 36 14  2 72 45 12  1
  3 84 10 38  5 23 37 53 86 93 27 80 95  8 56 83 99 11 89 63 78 42 26  7
  9 13 19 46]"
2,"[67 26  3 41  1 25 73 42 39 74 92 65 35 32 43  0  6 72 54 86 28 70 68 11
 21 50 45 18 62  4  5 16 99  9 51 44 83 48 75 66 33 23  2 49 84 10 97 47
 40 59 87 34 20 37 95 17 55 64 89 15 46 82 31 77 94 93 71 60 24 69 81 38
 12 58 76 22  7 61 56 88 13 98 53 27 90 78 36 19 63 14 29  8 52 96 30 91
 80 79 57 85]"
3,"[41 90 60 45 38 51 44 50 68 96 67 82 27  8 18 16 37 15 70  5 52 64 20 80
 32 25 13 61 58 63 92  9  7  3 53 10 81 73 57 56 24 49  0 46 59  1 54 47
 94 28 42 75 77 71 78  4 14 35 95 65 48 19 26 66 93 62  6 88 99 98 30 22
 69 17 43 86 29 79 11 33 85 97  2 40 34 23 76 89 91 31 36 84 72 87 55 21
 39 12 83 74]"
4,"[92 23  3 29 10 84 26 18 70 79 56 83  6 25 73 65 54 33 64 50 95 77 67 35
 60 43  1 93 85 59 51 82 16 71 11 24 87 90 32 31 61 14 39 41 13 69 80 89
 22 86 72 98 27 15 44 57 62  7 20 76 81 99 49 12 53 30 17 42 34  5 38  8
  4 40  0 58 88 46 91 45 74 75 37 47 21  9 63 19 36 52 97 66 48 94 78 68
  2 28 55 96]"
5,"[72  9  4 36 10 26 73 18 19 76 98 17 13 65 30 82 25 54 40 15 79 39  7 96
 58 95 89 43  8 16 80 86 78  6 11 38 31 56 35 57 50 87 47 84 37 66 93 71
 28 61 51 27 48 70 97  2 55 63 49 75 53 29 24 99 91 92 60 12  0 14 34 33
 81 94 62 44 41  3 67 42 69 59  1 68 45 83  5 20 74 88 77 22 32 85 64 23
 46 90 52 21]"
6,"[90 21 57 60 19 52 84 54 28 87  8 18 20 17 45 32 29 73 91 97 43 35 94 59
 64 95 86 25 46 39 11 65 78 77 15 51 58 75 99  6 31  0 12 79 62 89 72 85
  4 93 22 70 76 10 69 50 47  5 96 71 33 74 80 38  1 49 13 55 82 81 67 83
  3 63 14 92 88 68 48 37  9 41 66 26 27 42 61 34 56 98 40  7 30 44 16  2
 23 53 24 36]"
7,"[51 95 15 76 48 31 35  8 92 30 24 96 56 39 27 54 89 10 65 25 93 33 73 47
 80 20 78 17 42  3 71 21 90 67 99 14 16 61  1 77 69 18 79 34 84 68 55 29
  5 63 85 46 19  4 11 13 72 70 44  9 57 50 59 22 45 26 60 98 53 52 32 91
 62 94 87 97 81 88 41 28  7 49  6 23 36 12 74 82 83  0 75 64 43 40 86 66
 58 38 37  2]"
8,"[29 77 87 43  1 58 91  2 19 92  8 80 27 73 75 64  9 13 85 35 81  3 61 26
 83 95 28 86 30 98 65 69 45 74 99 42 53  7 12 96 88 40  4 38 60 97 94 62
 79 33 56 55 20 23 46 59 76 10 90 32 16 14  6 89 44 72 25 57 36 68 15 24
 63 82  0 17 48 34 11 18 66 71 51 22 54 47 37 21 50 93 70 84 39 31 67 49
 52 41  5 78]"
9,"[44 43 19 52 24  1  8 54 40  5 89 74 95 36 11 53 61  2 48 80 70 98 28 63
  0 16 51 30 79 57 12 15 25 18 23 99 91 14 50 77 39 13  9  4 47 10 46 76
 45 58 27 56 29 31 59  6 78 33 62 71 41 92 49 75 22 90 68 66 81 26 67 32
 64 94 42 69 65 37  7 21 88 87 60 83 85 84 73 34  3 17 93 96 72 38 35 55
 97 20 82 86]"
10,"[24 48 66 38 99 45 83 67 68 50  6 39 15 47 85 82  0 90 51 70 21 88 73 23
 61  9 18 17 98 64 71  5 86 31 19 97 54 91 76 79 34 49 59 52 10 42 94 29
 74 96  3 95 65 26 93 16  7  4 77 35 60 20 78 81 41  2 87  1 58 14 80 27
 33 55 72 75 44 63 40 56 84  8 30 11 62 43 32 12 46 57 36 28 89 69 22 25
 53 37 13 92]"
11,"[32  1 75 60 92 17 18 86 37 43 81 20 45 19 89 93 58 26 24 54 15 83 62 82
 53  3 70 78 55 27 97 68 98 51 38  8  5 10 65 87 95 91 73 61 50 23 28 52
 90  4 94 84 77  0 22 69 11 33 71 96 30 40 79  7 31 42 47 16 34 46 49 14
 63 80 13 35 39 56 48 12 67  2 76 99 36 44 41 59 74 29 25 64  9 66  6 85
 72 21 88 57]"
12,"[63 56 92 66  9 86 77 58 98 67 68 93 39 50 16 51 20 57 43 31 74 94 95 79
 69 80 28 88  0 23 45  4 33  2 15 40 82 49 71 14 29 26 90 22 61 37 18 30
 36 99 32 83 47 96 81 12 91 52 97 11 72 85 38 48 53 62 70 73  7 87 84 59
 21 46 35 65 44  3 27 41 55  6 64  5 42 19 75 76 60 54  1 89 78 24 13 10
 25  8 17 34]"
